Id,Y
0,2
1,2
2,1
3,1
4,3
5,2
6,1
7,1
8,1
9,1
10,2
11,1
12,1
13,0
14,1
15,3
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,0
39,3
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,2
50,1
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,2
60,1
61,0
62,1
63,1
64,1
65,2
66,1
67,1
68,1
69,2
70,1
71,3
72,2
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,2
88,1
89,1
90,0
91,2
92,1
93,2
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,2
102,1
103,1
104,1
105,1
106,1
107,1
108,2
109,1
110,1
111,2
112,1
113,1
114,2
115,1
116,1
117,1
118,1
119,1
120,1
121,2
122,1
123,2
124,1
125,2
126,1
127,2
128,1
129,1
130,2
131,1
132,1
133,2
134,2
135,1
136,1
137,1
138,2
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,2
151,0
152,1
153,2
154,2
155,1
156,2
157,1
158,1
159,1
160,2
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,2
170,2
171,1
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,1
180,1
181,3
182,1
183,1
184,1
185,3
186,1
187,0
188,1
189,1
190,3
191,1
192,1
193,1
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,2
204,3
205,1
206,1
207,1
208,2
209,3
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,1
218,1
219,1
220,1
221,3
222,2
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,3
233,1
234,1
235,1
236,1
237,3
238,1
239,1
240,2
241,1
242,1
243,1
244,1
245,2
246,2
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,2
255,1
256,2
257,1
258,1
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,2
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,2
282,1
283,1
284,2
285,2
286,1
287,1
288,1
289,1
290,2
291,1
292,1
293,2
294,1
295,2
296,1
297,1
298,2
299,2
300,2
301,2
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,3
310,2
311,2
312,1
313,2
314,1
315,1
316,2
317,1
318,1
319,1
320,2
321,1
322,2
323,1
324,1
325,2
326,1
327,1
328,2
329,2
330,1
331,2
332,1
333,0
334,3
335,1
336,1
337,1
338,2
339,2
340,1
341,2
342,1
343,1
344,0
345,1
346,0
347,1
348,2
349,1
350,2
351,2
352,2
353,1
354,1
355,1
356,1
357,2
358,1
359,1
360,3
361,1
362,1
363,1
364,1
365,2
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,2
375,1
376,2
377,2
378,1
379,1
380,1
381,2
382,1
383,1
384,2
385,1
386,1
387,0
388,0
389,2
390,3
391,1
392,1
393,1
394,1
395,1
396,2
397,1
398,3
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,1
407,3
408,1
409,1
410,2
411,1
412,1
413,1
414,2
415,1
416,1
417,1
418,1
419,1
420,1
421,2
422,1
423,2
424,2
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,2
436,1
437,3
438,2
439,1
440,1
441,1
442,3
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,3
457,2
458,1
459,1
460,1
461,1
462,1
463,2
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,3
476,1
477,1
478,1
479,0
480,1
481,1
482,2
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,3
491,2
492,1
493,1
494,1
495,1
496,3
497,1
498,2
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,2
507,1
508,0
509,1
510,1
511,3
512,3
513,1
514,0
515,1
516,1
517,1
518,1
519,2
520,1
521,1
522,1
523,2
524,1
525,2
526,3
527,1
528,1
529,1
530,0
531,1
532,2
533,2
534,1
535,1
536,1
537,2
538,2
539,1
540,1
541,1
542,1
543,2
544,1
545,1
